Episode 1/50, total_reward=-20.75
Episode 2/50, total_reward=-6.44
Episode 3/50, total_reward=-26.28
Episode 4/50, total_reward=-8.03
Episode 5/50, total_reward=-3.54
Episode 6/50, total_reward=-3.98
Episode 7/50, total_reward=-3.67
Episode 8/50, total_reward=-3.70
Episode 9/50, total_reward=-2.72
Episode 10/50, total_reward=-5.06
Episode 11/50, total_reward=-3.50
Episode 12/50, total_reward=-3.78
Episode 13/50, total_reward=-3.98
Episode 14/50, total_reward=-2.82
Episode 15/50, total_reward=-2.38
Episode 16/50, total_reward=-2.89
Episode 17/50, total_reward=-4.82
Episode 18/50, total_reward=-3.02
Episode 19/50, total_reward=-5.27
Episode 20/50, total_reward=-3.84
Episode 21/50, total_reward=-4.75
Episode 22/50, total_reward=-5.12
Episode 23/50, total_reward=-3.32
Episode 24/50, total_reward=-4.68
Episode 25/50, total_reward=-5.80
Episode 26/50, total_reward=-4.10
Episode 27/50, total_reward=-3.48
Episode 28/50, total_reward=-2.54
Episode 29/50, total_reward=-3.39
Episode 30/50, total_reward=-3.91
Episode 31/50, total_reward=-4.48
Episode 32/50, total_reward=-3.28
Episode 33/50, total_reward=-2.80
Episode 34/50, total_reward=-3.04
Episode 35/50, total_reward=-4.33
Episode 36/50, total_reward=-1.88
Episode 37/50, total_reward=-2.86
Episode 38/50, total_reward=-3.56
Episode 39/50, total_reward=-2.71
Episode 40/50, total_reward=-3.84
Episode 41/50, total_reward=-3.78
Episode 42/50, total_reward=-5.33
Episode 43/50, total_reward=-5.89
Episode 44/50, total_reward=-4.49
Episode 45/50, total_reward=-4.00
Episode 46/50, total_reward=-6.40
Episode 47/50, total_reward=-7.65
Episode 48/50, total_reward=-4.24
Episode 49/50, total_reward=-3.18
Episode 50/50, total_reward=-3.53
